cbg,precinct
[60855029094],8673
"[60855100011,60855100012]",3464
"[60855100011,60855099021,60855099023]",3467
[60855068011],2757
"[60855068011,60855068012,60855068013]",2771
"[60855080043,60855062032]",7001
"[60855091051,60855091052]",3470
"[60855100012,60855100011]",2345
"[60855100012,60855100013]",2343
[60855068012],2751
[60855068012],2759
[60855068012],3847
"[60855068012,60855068014]",2749
[60855091052],3460
[60855029101],8689
"[60855029101,60855029102]",8690
"[60855100013,60855100014]",2357
"[60855068013,60855068011]",5777
"[60855068013,60855068014]",5775
"[60855068013,60855068014]",5778
"[60855091053,60855091054]",3489
"[60855091053,60855091054]",3491
"[60855029102,60855029103]",8691
[60855068014],5774
"[60855068014,60855069004,60855069003]",2723
"[60855100015,60855100016]",2330
"[60855100016,60855100013]",2333
[60855026033],3806
[60855026033],8602
"[60855110001,60855110003]",2102
"[60855110001,60855110003,60855110004]",2101
"[60855110002,60855110005]",2098
"[60855110002,60855110005]",2129
[60855110004],2107
"[60855110004,60855110005]",2106
[60855100021],2339
"[60855100021,60855100022]",2344
[60855068021],2762
[60855068021],8680
"[60855068021,60855068022]",8681
"[60855068021,60855068022,60855068023]",8682
"[60855100022,60855100023]",2336
"[60855068022,60855068023,60855068024,60855068025]",8683
[60855100023],2317
"[60855100023,60855100022]",2335
[60855068024],5813
"[60855068024,60855068025]",8684
[60855026041],3816
"[60855026041,60855026032]",3826
[60855026042],3813
"[60855026042,60855026043]",3844
[60855046011],2144
[60855046011],2952
[60855068031],8686
"[60855068031,60855068033]",8685
[60855068033],8698
"[60855068033,60855029062]",8687
"[60855068033,60855068034]",8699
"[60855068034,60855068032]",8696
"[60855068034,60855068032]",8697
[60855079042],4680
[60855079042],7059
"[60855079042,60855079041]",7038
[60855099011],2334
[60855099011],3446
[60855099011],3447
"[60855099011,60855099012]",3436
[60855067011],7092
[60855099012],3455
[60855067012],3832
"[60855067012,60855067011]",7091
"[60855067012,60855067013]",3828
[60855067013],3835
[60855067013],7093
[60855109001],2034
"[60855109001,60855109002]",2038
[60855120521],8838
[60855120521],8840
[60855068041],2773
"[60855091081,60855091083]",3418
[60855109002],2028
[60855109002],2033
"[60855109002,60855109003]",2026
"[60855068042,60855068043,60855068041]",8694
"[60855091082,60855091084]",3413
[60855120523],8842
"[60855068043,60855068044]",2744
"[60855068044,60855068043]",8695
"[60855068044,60855068043,60855068023,60855068042]",2764
[60855099021],3462
"[60855099021,60855099022]",3439
"[60855099021,60855099022,60855099023]",3440
[60855067021],3827
[60855067021],3838
[60855067021],3850
[60855067021],3854
[60855067022],3834
[60855067022],3837
[60855120271],8692
"[60855120271,60855120242]",8675
[60855067023],3818
[60855130001],2542
[60855130001],2550
[60855130001],2552
[60855130001],2555
"[60855130002,60855130001]",2544
"[60855130003,60855130002,60855130001,60855116081]",2548
[60855091091],3412
"[60855091091,60855091082,60855091081]",3487
"[60855091091,60855091092]",3416
[60855091092],3410
[60855091092],3420
[60855067031],3814
[60855067031],3815
[60855067032],2742
"[60855067033,60855067032]",2765
[60855098011],3437
"[60855098011,60855098013]",3431
"[60855098011,60855098013,60855098014]",3441
"[60855066011,60855066012]",7066
[60855098012],3428
[60855066012],3823
[60855098013],2315
"[60855066013,60855066011]",7065
"[60855066013,60855066012]",7076
[60855098014],3434
[60855098014],3435
[60855077023],4729
[60855077023],4732
[60855077023],6624
[60855076001],4669
[60855076001],4671
[60855076001],4728
[60855076001],4730
[60855076001],4733
[60855076001],4737
[60855076001],6625
"[60855076001,60855117071]",6678
"[60855076001,60855076002]",4704
"[60855076001,60855076002,60855076003]",4697
"[60855076001,60855076002,60855076003,60855076004]",4715
"[60855076001,60855076004]",4701
[60855076002],4665
[60855076002],4666
[60855076002],4667
[60855076002],4698
[60855076002],4734
[60855076002],4735
[60855076003],4668
[60855076003],4670
[60855076003],4714
[60855076003],4719
[60855076003],4727
"[60855076003,60855076004]",4689
"[60855076003,60855076004]",4738
[60855076004],4723
[60855078052],2338
[60855098021],3438
[60855098021],3443
"[60855098021,60855098022]",3442
[60855077031],2353
[60855077032],2812
[60855077032],3669
[60855097001],3458
"[60855097002,60855097003]",3445
"[60855097002,60855097003]",3457
[60855108011],2117
"[60855108011,60855108012]",2110
[60855108012],2116
"[60855108012,60855108013]",2118
[60855108013],2112
[60855108013],2114
[60855023022],8068
[60855066031],7083
"[60855066031,60855066032]",3819
[60855066032],7086
"[60855066032,60855066031]",7085
[60855118001],5743
[60855118001],5744
[60855118001],5745
[60855118001],5748
[60855118001],5749
[60855118001],5751
[60855118001],5754
[60855066033],3842
[60855066033],7081
"[60855066033,60855066031]",7082
"[60855066033,60855066031,60855066032]",7084
[60855118002],5757
"[60855118002,60855118003]",5752
[60855118003],5742
[60855118003],5753
[60855118003],5756
[60855118003],5792
[60855118003],5794
[60855118003],5795
[60855118003],5907
"[60855118003,60855118002]",5755
"[60855118003,60855119091]",5784
"[60855065011,60855065012]",3804
"[60855065011,60855065012]",7073
"[60855065011,60855065013]",7074
[60855065012],7072
"[60855108021,60855108022]",2017
"[60855108021,60855108022]",2020
"[60855107001,60855107002]",2010
[60855066041],3841
[60855066041],7078
[60855075001],4691
[60855075001],4706
"[60855075001,60855075002,60855075004]",4688
"[60855075001,60855075004]",4703
"[60855075001,60855075004]",4725
"[60855075002,60855076003]",4726
"[60855075002,60855075003]",4687
"[60855075002,60855075003,60855075004]",4717
[60855107003],2015
[60855066043],3833
[60855066043],7087
[60855066043],7088
"[60855066043,60855066042,60855066032]",7080
"[60855066043,60855066044]",3831
[60855075003],4695
[60855075003],4708
[60855022011],8053
[60855022011],8065
[60855066044],7089
[60855066044],7090
"[60855022012,60855022011]",8064
"[60855022012,60855022021]",8075
"[60855065021,60855065022]",3805
"[60855065021,60855065022]",3825
"[60855065021,60855065022]",3853
[60855066045],4675
"[60855066045,60855066042,60855066043]",7079
"[60855108031,60855108032]",2019
"[60855108031,60855108032]",2025
[60855065023],3803
[60855065023],3809
[60855065023],3849
[60855065023],3852
[60855096001],3419
[60855096001],3471
[60855096001],3472
"[60855096001,60855096002]",3417
[60855066051],7069
[60855066051],7070
[60855066051],7071
"[60855066051,60855066052]",3821
"[60855066052,60855066051]",7067
"[60855066052,60855066063]",7068
"[60855022021,60855022022]",8076
[60855022022],8077
"[60855022022,60855022023]",8083
[60855065031],3812
"[60855065031,60855065032]",3817
[60855065032],3811
[60855065032],3856
[60855065033],3810
[60855119051],8892
[60855119051],8893
[60855064011],7024
[60855064011],7025
[60855064011],7026
